rank,variant,live,return,cagr,sharpe,max_dd,oos,trades,positive_windows,median_window_sharpe,worst_window,robustness
1,"+earnings 7d",0,0.9115,0.1623,0.954,-0.2275,0.2759,657,0.667,0.925,-0.0855,0.761
2,"live",1,0.8122,0.1480,0.885,-0.2360,0.1913,663,0.667,0.925,-0.0875,0.742
3,"+earnings 3d",0,0.7587,0.1401,0.850,-0.2204,0.1928,659,0.667,0.844,-0.0879,0.692
4,"+patterns",0,0.7457,0.1381,0.818,-0.2398,0.1794,677,0.625,0.839,-0.1108,0.617
5,"+rs 0.15",0,0.6219,0.1188,0.742,-0.2420,0.1970,677,0.625,0.807,-0.1086,0.582
6,"+squeeze 0.10",0,0.7870,0.1443,0.872,-0.2361,0.2003,659,0.625,0.666,-0.0872,0.463
7,"+patterns +earnings 3d",0,0.6980,0.1308,0.784,-0.2381,0.1866,671,0.625,0.673,-0.1114,0.454
8,"+rs 0.30",0,0.7230,0.1346,0.789,-0.2411,0.2173,721,0.625,0.673,-0.1067,0.450
9,"+52w 0.15",0,0.7750,0.1425,0.868,-0.2310,0.2029,662,0.583,0.592,-0.0948,0.374
10,"+52w 0.30",0,0.5247,0.1029,0.702,-0.2257,0.1614,669,0.583,0.454,-0.0860,0.252
