rank,variant,live,return,cagr,sharpe,max_dd,oos,trades,positive_windows,median_window_sharpe,worst_window,robustness
18,"sma20/100 mom126 stop4.0 n8 mkt",0,0.4981,0.0984,0.697,-0.1626,0.0997,404,0.542,0.896,-0.0969,0.793
19,"sma20/100 mom126 stop2.5 n12 mkt",0,0.6105,0.1170,0.723,-0.2066,0.0531,850,0.542,0.986,-0.1183,0.784
20,"sma20/100 mom126 stop4.0 n12 mkt",0,0.5547,0.1079,0.716,-0.1704,0.0733,579,0.542,0.899,-0.0915,0.783
21,"sma20/100 mom252 stop4.0 n12",0,0.3686,0.0756,0.574,-0.2063,0.0508,666,0.542,0.983,-0.1188,0.782
22,"sma50/200 mom252 stop4.0 n8 mkt",0,0.3449,0.0712,0.607,-0.1635,0.1200,347,0.625,0.838,-0.0827,0.782
23,"sma50/200 mom252 stop4.0 n12 mkt",0,0.4372,0.0879,0.673,-0.2049,0.0352,512,0.583,0.941,-0.0863,0.779
24,"sma50/200 mom63 stop4.0 n8 mkt",0,0.4990,0.0985,0.765,-0.1594,0.1582,277,0.667,0.801,-0.1066,0.762
25,"sma20/100 mom252 stop2.5 n8",0,0.7079,0.1323,0.861,-0.1951,0.0816,608,0.625,0.883,-0.0980,0.756
26,"sma50/200 mom126 stop4.0 n12 regime0.5",0,0.4540,0.0908,0.684,-0.2058,0.0403,477,0.583,0.919,-0.0997,0.750
27,"sma50/200 mom252 stop4.0 n8 regime0.5 mkt",0,0.2003,0.0433,0.411,-0.1530,0.0484,326,0.583,0.804,-0.0856,0.747
28,"sma20/100 mom63 stop2.5 n8",0,0.8048,0.1469,0.843,-0.2260,0.2190,620,0.542,0.988,-0.1204,0.747
29,"sma50/200 mom63 stop2.5 n12",1,0.8778,0.1575,0.924,-0.2360,0.2339,665,0.667,0.904,-0.0875,0.722
30,"sma50/200 mom252 stop4.0 n12 regime0.5",0,0.2877,0.0605,0.526,-0.1865,0.0235,486,0.583,0.838,-0.0913,0.711
31,"sma50/200 mom252 stop2.5 n8 regime0.5",0,0.1279,0.0283,0.281,-0.2141,-0.1243,480,0.542,0.916,-0.1047,0.706
32,"sma20/100 mom126 stop2.5 n12",0,0.4765,0.0947,0.605,-0.2565,0.0280,915,0.542,0.984,-0.1241,0.680
33,"sma50/200 mom126 stop2.5 n8 mkt",0,0.6539,0.1239,0.806,-0.2304,0.0734,480,0.542,0.914,-0.1044,0.672
34,"sma50/200 mom126 stop2.5 n12 mkt",0,0.8630,0.1554,0.961,-0.2345,0.2016,715,0.583,0.884,-0.1005,0.657
35,"sma50/200 mom126 stop4.0 n12 mkt",0,0.6966,0.1306,0.900,-0.1993,0.1715,479,0.625,0.781,-0.0888,0.650
36,"sma20/100 mom252 stop4.0 n12 regime0.5 mkt",0,0.3991,0.0811,0.594,-0.1394,0.0888,583,0.542,0.707,-0.1050,0.646
37,"sma20/100 mom126 stop4.0 n8 regime0.5 mkt",0,0.2720,0.0575,0.461,-0.1659,0.0429,403,0.542,0.737,-0.0935,0.629
38,"sma20/100 mom126 stop2.5 n8 regime0.5",0,0.3636,0.0747,0.526,-0.2223,0.0714,606,0.542,0.842,-0.1235,0.606
39,"sma50/200 mom63 stop2.5 n8 regime0.5",0,0.5695,0.1103,0.777,-0.1871,0.0915,413,0.542,0.754,-0.1007,0.600
40,"sma20/100 mom126 stop4.0 n12 regime0.5 mkt",0,0.3783,0.0773,0.556,-0.1755,0.0460,585,0.542,0.710,-0.0935,0.583
41,"sma20/100 mom126 stop2.5 n12 regime0.5 mkt",0,0.5117,0.1007,0.650,-0.2001,0.0652,815,0.500,0.766,-0.1194,0.556
42,"sma50/200 mom63 stop4.0 n8 regime0.5 mkt",0,0.3381,0.0700,0.603,-0.1710,0.1605,264,0.625,0.635,-0.1065,0.552
43,"sma20/100 mom63 stop2.5 n8 mkt",0,0.9118,0.1624,0.946,-0.2004,0.2711,554,0.542,0.733,-0.1137,0.546
44,"sma50/200 mom63 stop4.0 n8 regime0.5",0,0.3120,0.0651,0.572,-0.1744,0.1067,270,0.625,0.635,-0.1072,0.545
45,"sma20/100 mom126 stop2.5 n12 regime0.5",0,0.3345,0.0693,0.481,-0.2258,0.0433,847,0.500,0.803,-0.1193,0.542
46,"sma50/200 mom63 stop4.0 n12 regime0.5",0,0.5424,0.1059,0.775,-0.1921,0.1107,402,0.625,0.658,-0.1045,0.534
47,"sma50/200 mom63 stop2.5 n12 regime0.5",0,0.5666,0.1099,0.741,-0.2356,0.0752,637,0.625,0.746,-0.1089,0.533
48,"sma20/100 mom252 stop4.0 n12 mkt",0,0.4161,0.0841,0.593,-0.1783,0.0445,614,0.583,0.620,-0.1158,0.497
49,"sma50/200 mom63 stop2.5 n8",0,0.6655,0.1258,0.801,-0.1927,0.1126,458,0.542,0.652,-0.0980,0.489
50,"sma20/100 mom252 stop2.5 n12 mkt",0,0.4741,0.0943,0.652,-0.1622,0.0245,881,0.542,0.589,-0.0976,0.487
51,"sma20/100 mom252 stop2.5 n8 mkt",0,0.7848,0.1440,0.935,-0.1450,0.1327,572,0.625,0.499,-0.1024,0.471
52,"sma50/200 mom252 stop2.5 n12",0,0.4340,0.0873,0.617,-0.2564,0.1689,824,0.583,0.745,-0.1112,0.469
53,"sma50/200 mom126 stop2.5 n8 regime0.5 mkt",0,0.4999,0.0987,0.686,-0.2312,0.0989,472,0.500,0.730,-0.1044,0.465
54,"sma20/100 mom252 stop2.5 n12",0,0.2968,0.0622,0.480,-0.2295,-0.0712,961,0.583,0.664,-0.0978,0.448
55,"sma50/200 mom63 stop4.0 n12 regime0.5 mkt",0,0.5157,0.1014,0.750,-0.1789,0.1151,396,0.667,0.524,-0.1061,0.446
56,"sma20/100 mom252 stop2.5 n12 regime0.5 mkt",0,0.3777,0.0772,0.562,-0.1619,0.0447,852,0.542,0.527,-0.0955,0.427
57,"sma50/200 mom126 stop4.0 n12",0,0.6262,0.1195,0.820,-0.2130,0.0770,506,0.583,0.596,-0.0936,0.414
58,"sma50/200 mom126 stop2.5 n12",0,0.7218,0.1345,0.819,-0.2545,0.1792,769,0.583,0.675,-0.1001,0.408
59,"sma20/100 mom126 stop4.0 n12 regime0.5",0,0.3585,0.0737,0.525,-0.1847,0.0729,613,0.583,0.514,-0.1037,0.385
60,"sma50/200 mom63 stop2.5 n8 mkt",0,0.5942,0.1144,0.755,-0.1907,0.0114,433,0.583,0.522,-0.0974,0.384
61,"sma20/100 mom252 stop2.5 n8 regime0.5 mkt",0,0.4770,0.0948,0.673,-0.1584,0.0760,568,0.625,0.435,-0.0998,0.381
62,"sma20/100 mom126 stop2.5 n8 regime0.5 mkt",0,0.4930,0.0975,0.660,-0.2163,0.1345,568,0.542,0.605,-0.1235,0.381
63,"sma20/100 mom63 stop2.5 n8 regime0.5",0,0.4390,0.0882,0.586,-0.2535,0.1963,587,0.542,0.640,-0.1126,0.347
64,"sma20/100 mom63 stop4.0 n12 regime0.5 mkt",0,0.3902,0.0795,0.548,-0.1924,0.0297,594,0.542,0.512,-0.1050,0.345
65,"sma20/100 mom63 stop2.5 n8 regime0.5 mkt",0,0.6639,0.1255,0.783,-0.2153,0.2657,554,0.542,0.560,-0.1126,0.344
66,"sma20/100 mom126 stop4.0 n8",0,0.3182,0.0663,0.521,-0.1892,0.0323,442,0.542,0.477,-0.0829,0.328
67,"sma20/100 mom63 stop4.0 n12 mkt",0,0.5862,0.1131,0.721,-0.1682,0.0773,597,0.542,0.439,-0.1066,0.320
68,"sma20/100 mom252 stop2.5 n8 regime0.5",0,0.3309,0.0686,0.525,-0.1947,-0.0266,592,0.625,0.446,-0.0998,0.319
69,"sma50/200 mom63 stop4.0 n8",0,0.3671,0.0753,0.610,-0.1679,0.0868,306,0.667,0.377,-0.1162,0.316
70,"sma50/200 mom63 stop2.5 n12 regime0.5 mkt",0,0.5835,0.1126,0.760,-0.2194,0.0938,622,0.625,0.488,-0.1077,0.307
71,"sma50/200 mom126 stop4.0 n8 regime0.5 mkt",0,0.2877,0.0605,0.525,-0.1652,0.0685,312,0.583,0.383,-0.0929,0.298
72,"sma50/200 mom126 stop4.0 n8 regime0.5",0,0.2937,0.0616,0.537,-0.1766,0.0525,318,0.583,0.405,-0.0935,0.297
73,"sma50/200 mom252 stop2.5 n8 mkt",0,0.4314,0.0868,0.635,-0.2039,0.0242,501,0.625,0.437,-0.0933,0.295
74,"sma20/100 mom63 stop4.0 n8 mkt",0,0.6853,0.1288,0.852,-0.1407,0.2239,400,0.500,0.376,-0.1120,0.289
75,"sma20/100 mom126 stop4.0 n8 regime0.5",0,0.1322,0.0293,0.277,-0.1785,-0.0148,433,0.500,0.439,-0.0974,0.283
76,"sma50/200 mom63 stop2.5 n12 mkt",0,0.8443,0.1527,0.929,-0.2265,0.1485,629,0.667,0.406,-0.0875,0.243
77,"sma20/100 mom252 stop4.0 n12 regime0.5",0,0.3744,0.0766,0.574,-0.1734,0.0981,620,0.542,0.361,-0.1187,0.226
78,"sma20/100 mom63 stop4.0 n8 regime0.5 mkt",0,0.3835,0.0783,0.582,-0.1575,0.1093,412,0.542,0.309,-0.1006,0.215
79,"sma20/100 mom63 stop4.0 n12",0,0.4685,0.0933,0.608,-0.2109,0.0261,644,0.583,0.399,-0.1131,0.212
80,"sma50/200 mom126 stop2.5 n8 regime0.5",0,0.3495,0.0721,0.541,-0.2429,0.0047,484,0.542,0.470,-0.1044,0.203
81,"sma20/100 mom63 stop4.0 n12 regime0.5",0,0.2513,0.0534,0.400,-0.2261,0.0206,628,0.583,0.415,-0.1146,0.197
82,"sma50/200 mom252 stop4.0 n8 regime0.5",0,0.1326,0.0293,0.304,-0.1626,-0.0143,335,0.500,0.299,-0.0852,0.181
83,"sma20/100 mom63 stop4.0 n8",0,0.4767,0.0947,0.671,-0.1810,0.0860,447,0.542,0.286,-0.1156,0.137
84,"sma50/200 mom63 stop2.5 n8 regime0.5 mkt",0,0.4944,0.0978,0.706,-0.1874,0.0551,408,0.542,0.279,-0.0886,0.131
85,"sma20/100 mom63 stop2.5 n12",0,0.6430,0.1222,0.705,-0.2703,0.0221,885,0.500,0.474,-0.1598,0.103
86,"sma50/200 mom252 stop4.0 n12 regime0.5 mkt",0,0.2877,0.0605,0.479,-0.2308,0.0184,484,0.542,0.316,-0.0945,0.078
87,"sma50/200 mom252 stop2.5 n8 regime0.5 mkt",0,0.0772,0.0174,0.197,-0.2172,-0.1532,476,0.542,0.281,-0.0978,0.068
88,"sma20/100 mom252 stop2.5 n12 regime0.5",0,0.1598,0.0350,0.308,-0.2265,-0.1149,900,0.500,0.297,-0.0971,0.046
89,"sma50/200 mom252 stop2.5 n12 mkt",0,0.2484,0.0529,0.417,-0.2365,0.0640,762,0.542,0.272,-0.0947,0.022
90,"sma50/200 mom126 stop4.0 n8",0,0.4332,0.0872,0.676,-0.1861,0.0886,344,0.500,0.138,-0.0881,-0.028
91,"sma50/200 mom252 stop2.5 n12 regime0.5",0,0.0928,0.0208,0.216,-0.2450,-0.0494,773,0.542,0.246,-0.1203,-0.033
92,"sma20/100 mom63 stop2.5 n12 mkt",0,0.7252,0.1350,0.777,-0.2290,0.0983,816,0.542,0.211,-0.1584,-0.055
93,"sma50/200 mom252 stop2.5 n12 regime0.5 mkt",0,-0.0036,-0.0008,0.063,-0.2480,-0.1406,750,0.500,0.107,-0.1029,-0.191
94,"sma20/100 mom63 stop4.0 n8 regime0.5",0,0.1302,0.0288,0.271,-0.1950,0.0302,429,0.500,-0.048,-0.1156,-0.246
95,"sma20/100 mom63 stop2.5 n12 regime0.5",0,0.3137,0.0654,0.446,-0.2505,-0.0005,846,0.458,-0.224,-0.1408,-0.566
96,"sma20/100 mom63 stop2.5 n12 regime0.5 mkt",0,0.4442,0.0891,0.581,-0.2223,0.0530,806,0.458,-0.437,-0.1423,-0.724
