rank,variant,live,return,cagr,sharpe,max_dd,oos,trades,positive_windows,median_window_sharpe,worst_window,robustness
1,"sma50/200 mom252 stop2.5 n8",0,0.4715,0.0938,0.677,-0.2319,0.0473,530,0.625,1.412,-0.0978,1.212
2,"sma50/200 mom252 stop4.0 n8",0,0.2751,0.0580,0.505,-0.1892,0.0489,370,0.583,1.320,-0.0869,1.190
3,"sma20/100 mom252 stop4.0 n8",0,0.4560,0.0911,0.708,-0.1573,0.0741,423,0.667,1.189,-0.0964,1.160
4,"sma50/200 mom126 stop4.0 n8 mkt",0,0.5465,0.1065,0.762,-0.1894,0.0804,331,0.542,1.300,-0.0988,1.143
5,"sma20/100 mom252 stop4.0 n8 mkt",0,0.6210,0.1187,0.858,-0.1380,0.2457,398,0.625,1.094,-0.1006,1.080
6,"sma20/100 mom252 stop4.0 n8 regime0.5",0,0.2551,0.0542,0.466,-0.1668,0.0721,429,0.625,1.107,-0.1123,1.030
7,"sma50/200 mom63 stop4.0 n12 mkt",0,0.7661,0.1412,0.933,-0.1830,0.1601,400,0.625,1.102,-0.0916,1.003
8,"sma20/100 mom126 stop2.5 n8",0,0.4775,0.0949,0.637,-0.2202,0.0466,632,0.542,1.213,-0.1062,0.991
9,"sma50/200 mom252 stop4.0 n12",0,0.5019,0.0990,0.756,-0.2215,0.1491,568,0.625,1.158,-0.0934,0.981
10,"sma20/100 mom126 stop2.5 n8 mkt",0,0.8473,0.1532,0.942,-0.2160,0.1845,567,0.542,1.187,-0.1026,0.974
11,"sma50/200 mom126 stop2.5 n12 regime0.5 mkt",0,0.7065,0.1321,0.875,-0.2281,0.2260,702,0.583,1.182,-0.1011,0.967
12,"sma20/100 mom252 stop4.0 n8 regime0.5 mkt",0,0.4034,0.0819,0.647,-0.1387,0.2022,398,0.667,0.937,-0.1026,0.942
13,"sma50/200 mom126 stop2.5 n12 regime0.5",0,0.5715,0.1107,0.752,-0.2387,0.1398,737,0.583,1.121,-0.1080,0.881
14,"sma50/200 mom126 stop4.0 n12 regime0.5 mkt",0,0.4934,0.0976,0.713,-0.1963,0.0928,461,0.583,1.022,-0.0874,0.878
15,"sma50/200 mom63 stop4.0 n12",0,0.7101,0.1327,0.876,-0.1946,0.1687,421,0.625,0.991,-0.0923,0.868
16,"sma20/100 mom126 stop4.0 n12",0,0.2612,0.0554,0.432,-0.2119,-0.0092,642,0.542,1.055,-0.0911,0.857
17,"sma50/200 mom126 stop2.5 n8",0,0.4689,0.0934,0.636,-0.2442,0.1075,515,0.542,1.078,-0.1044,0.808
