rank,variant,live,return,cagr,sharpe,max_dd,oos,trades,positive_windows,median_window_sharpe,worst_window,robustness
1,"sma20/100 mom252 stop4.0 n8",0,0.5971,0.1148,0.731,-0.2092,0.0269,423,0.625,1.252,-0.1213,1.085
2,"sma20/100 mom252 stop4.0 n8 mkt",0,0.8256,0.1499,0.857,-0.1950,0.2198,407,0.625,1.144,-0.1152,1.009
3,"sma50/200 mom63 stop4.0 n12",0,0.6499,0.1232,0.685,-0.2660,0.1050,418,0.583,1.280,-0.1464,0.966
4,"sma50/200 mom63 stop4.0 n8 regime0.5",0,0.5203,0.1021,0.651,-0.2193,0.1261,271,0.667,1.135,-0.1472,0.956
5,"sma50/200 mom63 stop4.0 n8",0,0.3789,0.0774,0.514,-0.2231,0.0934,306,0.625,0.998,-0.1514,0.789
6,"sma20/100 mom252 stop4.0 n8 regime0.5 mkt",0,0.5142,0.1011,0.635,-0.1969,0.1551,406,0.625,0.902,-0.1170,0.762
7,"sma50/200 mom63 stop4.0 n8 mkt",0,0.6033,0.1158,0.720,-0.2174,0.1887,278,0.750,0.859,-0.1435,0.727
8,"sma50/200 mom126 stop4.0 n8 regime0.5",0,0.4525,0.0905,0.592,-0.2567,-0.0100,315,0.583,0.990,-0.1497,0.694
9,"sma20/100 mom252 stop2.5 n8",0,0.7813,0.1434,0.855,-0.2423,0.0899,599,0.542,0.957,-0.1291,0.679
10,"sma20/100 mom252 stop4.0 n12",0,0.4285,0.0863,0.566,-0.2659,0.0657,673,0.625,0.966,-0.1532,0.670
11,"sma50/200 mom63 stop2.5 n8 regime0.5",0,0.6047,0.1160,0.752,-0.2187,0.0549,410,0.583,0.874,-0.1345,0.661
12,"sma50/200 mom252 stop4.0 n8",0,0.5131,0.1009,0.630,-0.2435,0.1115,372,0.583,0.920,-0.1516,0.649
13,"sma50/200 mom63 stop2.5 n8",0,0.5590,0.1085,0.667,-0.2213,0.0780,457,0.542,0.848,-0.1256,0.613
14,"sma20/100 mom63 stop4.0 n8 mkt",0,0.9210,0.1636,0.845,-0.1947,0.2073,396,0.542,0.797,-0.1309,0.613
15,"sma20/100 mom252 stop2.5 n8 mkt",0,0.9640,0.1696,0.996,-0.1639,0.1702,559,0.542,0.705,-0.0992,0.599
16,"sma50/200 mom252 stop4.0 n12",0,0.4511,0.0902,0.601,-0.2838,0.0912,560,0.583,0.872,-0.1558,0.518
17,"sma50/200 mom63 stop4.0 n8 regime0.5 mkt",0,0.5589,0.1085,0.681,-0.2233,0.1824,263,0.583,0.741,-0.1468,0.512
18,"sma50/200 mom63 stop4.0 n12 regime0.5",0,0.4429,0.0888,0.597,-0.2654,-0.0248,403,0.542,0.834,-0.1286,0.509
19,"sma50/200 mom126 stop4.0 n12 regime0.5 mkt",0,0.5843,0.1127,0.705,-0.2241,0.0512,458,0.542,0.737,-0.1255,0.496
20,"sma50/200 mom63 stop4.0 n12 mkt",0,0.9096,0.1620,0.870,-0.2391,0.1604,399,0.583,0.747,-0.1325,0.494
21,"sma50/200 mom126 stop4.0 n12",0,0.5737,0.1110,0.644,-0.2747,0.0435,509,0.583,0.837,-0.1851,0.486
22,"sma20/100 mom126 stop4.0 n12 regime0.5 mkt",0,0.5424,0.1058,0.623,-0.2090,0.0258,563,0.542,0.632,-0.1192,0.426
23,"sma50/200 mom252 stop4.0 n12 regime0.5",0,0.1013,0.0226,0.229,-0.2565,-0.0869,484,0.583,0.698,-0.1550,0.399
24,"sma50/200 mom126 stop2.5 n8 regime0.5 mkt",0,0.5703,0.1104,0.688,-0.2804,0.0669,467,0.583,0.745,-0.1543,0.398
25,"sma20/100 mom63 stop2.5 n8 mkt",0,0.9658,0.1698,0.893,-0.2352,0.2989,542,0.542,0.648,-0.1196,0.389
26,"sma50/200 mom252 stop4.0 n8 regime0.5",0,0.2887,0.0606,0.442,-0.2046,-0.0072,330,0.542,0.581,-0.1357,0.375
27,"sma50/200 mom126 stop2.5 n8 mkt",0,0.7369,0.1367,0.805,-0.2670,0.0682,478,0.583,0.675,-0.1286,0.368
28,"sma50/200 mom63 stop4.0 n12 regime0.5 mkt",0,0.5803,0.1120,0.666,-0.2627,-0.0217,399,0.583,0.657,-0.1269,0.360
29,"sma50/200 mom252 stop2.5 n8",0,0.4137,0.0836,0.583,-0.2576,0.0358,531,0.542,0.672,-0.1426,0.356
