rank,variant,live,return,cagr,sharpe,max_dd,oos,trades,positive_windows,median_window_sharpe,worst_window,robustness
30,"sma50/200 mom126 stop4.0 n8 mkt",0,0.7446,0.1378,0.763,-0.2525,0.0076,328,0.542,0.655,-0.1333,0.354
31,"sma50/200 mom126 stop2.5 n8",0,0.4743,0.0943,0.586,-0.2812,0.1336,515,0.583,0.691,-0.1421,0.350
32,"sma50/200 mom126 stop4.0 n8",0,0.5664,0.1098,0.646,-0.2603,0.1027,344,0.583,0.651,-0.1467,0.349
33,"sma50/200 mom63 stop2.5 n12",1,0.7420,0.1375,0.791,-0.2665,0.1694,657,0.583,0.647,-0.1175,0.347
34,"sma20/100 mom63 stop2.5 n8",0,0.7960,0.1455,0.754,-0.2934,0.1819,618,0.583,0.707,-0.1302,0.347
35,"sma20/100 mom126 stop4.0 n8 mkt",0,0.7085,0.1323,0.715,-0.2298,0.0888,401,0.583,0.566,-0.1176,0.339
36,"sma20/100 mom252 stop4.0 n8 regime0.5",0,0.3010,0.0630,0.442,-0.2396,-0.0247,436,0.583,0.590,-0.1290,0.338
37,"sma50/200 mom252 stop4.0 n8 regime0.5 mkt",0,0.3151,0.0656,0.464,-0.2035,0.0160,323,0.542,0.535,-0.1298,0.334
38,"sma50/200 mom63 stop2.5 n12 regime0.5",0,0.5976,0.1148,0.718,-0.2656,0.0434,631,0.583,0.630,-0.1231,0.329
39,"sma50/200 mom63 stop2.5 n8 regime0.5 mkt",0,0.5010,0.0988,0.665,-0.2213,0.0230,405,0.542,0.521,-0.1121,0.293
40,"sma20/100 mom63 stop2.5 n8 regime0.5 mkt",0,0.6941,0.1301,0.742,-0.2524,0.3117,541,0.583,0.545,-0.0978,0.283
41,"sma20/100 mom126 stop2.5 n8 mkt",0,0.9462,0.1671,0.921,-0.2348,0.1577,563,0.542,0.516,-0.1072,0.264
42,"sma20/100 mom63 stop4.0 n8 regime0.5 mkt",0,0.5150,0.1012,0.580,-0.2316,0.0924,410,0.542,0.500,-0.1112,0.253
43,"sma20/100 mom126 stop4.0 n8",0,0.3545,0.0729,0.465,-0.2883,-0.0327,437,0.583,0.614,-0.1570,0.251
44,"sma50/200 mom126 stop2.5 n12 regime0.5 mkt",0,0.7363,0.1366,0.844,-0.2809,0.2187,696,0.500,0.645,-0.1720,0.247
45,"sma50/200 mom126 stop4.0 n12 regime0.5",0,0.3746,0.0766,0.538,-0.2636,-0.0419,471,0.500,0.595,-0.1685,0.234
46,"sma20/100 mom63 stop2.5 n8 regime0.5",0,0.3845,0.0784,0.493,-0.3058,0.2132,582,0.583,0.606,-0.1144,0.229
47,"sma20/100 mom126 stop4.0 n8 regime0.5 mkt",0,0.3845,0.0784,0.479,-0.2257,0.0020,401,0.583,0.443,-0.1151,0.225
48,"sma20/100 mom252 stop2.5 n12",0,0.2257,0.0484,0.383,-0.2624,-0.1100,959,0.542,0.545,-0.1351,0.224
49,"sma20/100 mom252 stop2.5 n8 regime0.5 mkt",0,0.6726,0.1268,0.797,-0.1804,0.1544,547,0.542,0.348,-0.0895,0.213
50,"sma50/200 mom63 stop2.5 n12 regime0.5 mkt",0,0.6980,0.1307,0.798,-0.2491,0.1314,612,0.583,0.462,-0.1167,0.198
51,"sma20/100 mom252 stop4.0 n12 mkt",0,0.4366,0.0877,0.553,-0.2177,-0.0423,610,0.542,0.389,-0.1238,0.162
52,"sma50/200 mom252 stop4.0 n8 mkt",0,0.4919,0.0973,0.624,-0.2282,0.0961,345,0.500,0.427,-0.1252,0.158
53,"sma50/200 mom126 stop4.0 n8 regime0.5 mkt",0,0.3816,0.0779,0.532,-0.2449,-0.0285,308,0.542,0.439,-0.1350,0.153
54,"sma20/100 mom126 stop2.5 n8",0,0.3881,0.0791,0.518,-0.2504,-0.0097,629,0.542,0.424,-0.1369,0.125
55,"sma50/200 mom252 stop2.5 n12",0,0.4546,0.0908,0.602,-0.2983,0.2290,820,0.542,0.525,-0.1712,0.114
56,"sma50/200 mom252 stop2.5 n8 mkt",0,0.3974,0.0807,0.566,-0.2274,0.0266,498,0.542,0.353,-0.1138,0.112
57,"sma20/100 mom126 stop4.0 n12 regime0.5",0,0.3858,0.0786,0.482,-0.2334,0.0024,599,0.500,0.385,-0.1242,0.106
58,"sma50/200 mom252 stop4.0 n12 mkt",0,0.5452,0.1062,0.657,-0.2386,0.0385,502,0.542,0.363,-0.1278,0.092
59,"sma20/100 mom63 stop4.0 n12 mkt",0,0.5848,0.1128,0.636,-0.2305,-0.0510,591,0.583,0.310,-0.1107,0.085
60,"sma50/200 mom252 stop2.5 n12 regime0.5",0,0.0678,0.0153,0.176,-0.3047,-0.0915,762,0.542,0.505,-0.1869,0.073
61,"sma50/200 mom126 stop4.0 n12 mkt",0,0.6367,0.1211,0.743,-0.2499,0.0733,483,0.542,0.380,-0.1586,0.072
62,"sma20/100 mom126 stop4.0 n8 regime0.5",0,0.1188,0.0264,0.232,-0.2636,-0.0875,428,0.583,0.353,-0.1125,0.061
63,"sma50/200 mom126 stop2.5 n12 mkt",0,0.6043,0.1159,0.738,-0.2868,0.2296,716,0.500,0.446,-0.1591,0.043
64,"sma50/200 mom252 stop2.5 n8 regime0.5",0,0.0570,0.0129,0.161,-0.2603,-0.1842,482,0.542,0.373,-0.1629,0.042
65,"sma50/200 mom63 stop2.5 n12 mkt",0,0.9722,0.1707,0.937,-0.2589,0.1605,620,0.542,0.310,-0.0989,0.013
66,"sma20/100 mom126 stop2.5 n8 regime0.5 mkt",0,0.6438,0.1222,0.726,-0.2355,0.0891,554,0.500,0.284,-0.1036,0.011
67,"sma50/200 mom126 stop2.5 n12",0,0.5214,0.1023,0.640,-0.3046,0.2326,767,0.500,0.454,-0.1772,0.006
68,"sma20/100 mom252 stop2.5 n8 regime0.5",0,0.4451,0.0892,0.602,-0.2190,-0.0012,580,0.500,0.202,-0.0916,-0.032
69,"sma20/100 mom252 stop4.0 n12 regime0.5 mkt",0,0.6639,0.1254,0.723,-0.1432,0.1513,591,0.500,0.055,-0.1104,-0.037
70,"sma50/200 mom126 stop2.5 n8 regime0.5",0,0.3850,0.0785,0.534,-0.2914,-0.0327,482,0.542,0.350,-0.1683,-0.046
71,"sma20/100 mom126 stop2.5 n8 regime0.5",0,0.3015,0.0631,0.429,-0.2607,0.0276,602,0.500,0.282,-0.1194,-0.049
72,"sma20/100 mom252 stop4.0 n12 regime0.5",0,0.5157,0.1013,0.642,-0.1791,0.0955,627,0.500,0.117,-0.1233,-0.053
73,"sma20/100 mom63 stop2.5 n12 mkt",0,0.7859,0.1440,0.787,-0.2478,0.0908,804,0.542,0.229,-0.1238,-0.058
74,"sma20/100 mom63 stop4.0 n8",0,0.6477,0.1229,0.657,-0.2704,-0.0130,444,0.542,0.250,-0.1452,-0.092
75,"sma20/100 mom63 stop4.0 n12 regime0.5 mkt",0,0.4744,0.0943,0.555,-0.2526,-0.0539,574,0.500,0.218,-0.1128,-0.093
76,"sma20/100 mom63 stop4.0 n12",0,0.5813,0.1122,0.604,-0.2928,-0.0551,657,0.500,0.302,-0.1324,-0.100
77,"sma20/100 mom252 stop2.5 n12 regime0.5",0,0.1314,0.0291,0.263,-0.2323,-0.1440,906,0.500,0.111,-0.0944,-0.151
78,"sma20/100 mom126 stop4.0 n12 mkt",0,0.6501,0.1232,0.680,-0.2245,0.0339,577,0.500,0.069,-0.1069,-0.184
79,"sma20/100 mom63 stop2.5 n12 regime0.5 mkt",0,0.5959,0.1146,0.674,-0.2351,0.1259,795,0.500,0.086,-0.1100,-0.189
80,"sma20/100 mom63 stop2.5 n12",0,0.8601,0.1549,0.805,-0.2989,0.0893,876,0.500,0.190,-0.1247,-0.220
81,"sma20/100 mom126 stop4.0 n12",0,0.1219,0.0270,0.238,-0.2866,-0.1011,633,0.500,0.173,-0.1615,-0.231
82,"sma50/200 mom63 stop2.5 n8 mkt",0,0.5621,0.1090,0.690,-0.2243,-0.0124,431,0.458,0.042,-0.1166,-0.235
83,"sma50/200 mom252 stop2.5 n12 mkt",0,0.2090,0.0450,0.351,-0.2808,0.0296,753,0.500,0.135,-0.1543,-0.254
84,"sma20/100 mom126 stop2.5 n12 regime0.5",0,0.4507,0.0902,0.565,-0.2332,0.0171,834,0.500,-0.010,-0.1035,-0.278
85,"sma50/200 mom252 stop2.5 n8 regime0.5 mkt",0,0.0258,0.0059,0.115,-0.2650,-0.2020,475,0.500,0.063,-0.1387,-0.287
86,"sma20/100 mom126 stop2.5 n12 regime0.5 mkt",0,0.5484,0.1068,0.642,-0.2071,0.0841,807,0.500,-0.080,-0.0898,-0.289
87,"sma20/100 mom252 stop2.5 n12 regime0.5 mkt",0,0.3028,0.0633,0.452,-0.1993,-0.1042,864,0.417,-0.107,-0.0886,-0.342
88,"sma50/200 mom252 stop4.0 n12 regime0.5 mkt",0,0.1450,0.0319,0.273,-0.2903,-0.1294,478,0.458,0.067,-0.1295,-0.349
89,"sma20/100 mom63 stop4.0 n12 regime0.5",0,0.2303,0.0493,0.336,-0.3029,-0.0893,638,0.500,0.052,-0.1236,-0.365
90,"sma20/100 mom126 stop2.5 n12 mkt",0,0.5646,0.1094,0.649,-0.2294,0.0406,838,0.500,-0.135,-0.0968,-0.392
91,"sma20/100 mom63 stop4.0 n8 regime0.5",0,0.0827,0.0186,0.192,-0.3011,-0.0261,426,0.500,-0.033,-0.1385,-0.455
92,"sma20/100 mom252 stop2.5 n12 mkt",0,0.4339,0.0872,0.585,-0.1821,-0.0615,878,0.458,-0.304,-0.0845,-0.481
93,"sma50/200 mom126 stop2.5 n12 regime0.5",0,0.3944,0.0802,0.554,-0.2844,0.0059,734,0.458,-0.051,-0.1835,-0.482
94,"sma50/200 mom252 stop2.5 n12 regime0.5 mkt",0,-0.0037,-0.0009,0.068,-0.2916,-0.1707,730,0.458,-0.173,-0.1585,-0.607
95,"sma20/100 mom63 stop2.5 n12 regime0.5",0,0.3578,0.0735,0.469,-0.2687,-0.0070,836,0.417,-0.231,-0.1241,-0.622
96,"sma20/100 mom126 stop2.5 n12",0,0.2792,0.0588,0.408,-0.2989,-0.0372,903,0.500,-0.204,-0.1406,-0.622
